timestamp, value
2013-08-09T07:08:27.000-07:00,0
2013-08-09T07:08:27.100-07:00,1
2013-08-09T07:46:22.000-07:00,1
2013-08-09T07:46:22.100-07:00,0
2013-08-09T08:21:09.000-07:00,0
2013-08-09T08:21:09.100-07:00,1
2013-08-09T08:21:15.000-07:00,1
2013-08-09T08:21:15.100-07:00,0
2013-08-09T12:41:56.000-07:00,0
2013-08-09T12:41:56.100-07:00,1
2013-08-09T12:43:32.000-07:00,1
2013-08-09T12:43:32.100-07:00,0
2013-08-09T13:29:20.000-07:00,0
2013-08-09T13:29:20.100-07:00,1
2013-08-09T13:29:23.000-07:00,1
2013-08-09T13:29:23.100-07:00,0
2013-08-09T15:55:59.000-07:00,0
2013-08-09T15:55:59.100-07:00,1
2013-08-09T15:56:06.000-07:00,1
2013-08-09T15:56:06.100-07:00,0
2013-08-09T16:26:03.000-07:00,0
2013-08-09T16:26:03.100-07:00,1
2013-08-09T17:23:03.000-07:00,1
2013-08-09T17:23:03.100-07:00,0
2013-08-09T18:06:19.000-07:00,0
2013-08-09T18:06:19.100-07:00,1
2013-08-09T18:06:47.000-07:00,1
2013-08-09T18:06:47.100-07:00,0
2013-08-09T18:08:02.000-07:00,0
2013-08-09T18:08:02.100-07:00,1
2013-08-09T20:37:25.000-07:00,1
2013-08-09T20:37:25.100-07:00,0
2013-08-09T21:29:25.000-07:00,0
2013-08-09T21:29:25.100-07:00,1
2013-08-09T22:36:56.000-07:00,1
2013-08-09T22:36:56.100-07:00,0
