timestamp, value
2013-07-28T07:07:03.000-07:00,0
2013-07-28T07:07:03.100-07:00,1
2013-07-28T07:08:13.000-07:00,1
2013-07-28T07:08:13.100-07:00,0
2013-07-28T10:57:19.000-07:00,0
2013-07-28T10:57:19.100-07:00,1
2013-07-28T10:59:53.000-07:00,1
2013-07-28T10:59:53.100-07:00,0
2013-07-28T16:24:02.000-07:00,0
2013-07-28T16:24:02.100-07:00,1
2013-07-28T16:25:41.000-07:00,1
2013-07-28T16:25:41.100-07:00,0
2013-07-28T20:21:03.000-07:00,0
2013-07-28T20:21:03.100-07:00,1
2013-07-28T20:22:06.000-07:00,1
2013-07-28T20:22:06.100-07:00,0
