timestamp, value
2013-07-27T07:12:31.000-07:00,0
2013-07-27T07:12:31.100-07:00,1
2013-07-27T08:31:13.000-07:00,1
2013-07-27T08:31:13.100-07:00,0
2013-07-27T09:34:17.000-07:00,0
2013-07-27T09:34:17.100-07:00,1
2013-07-27T11:41:49.000-07:00,1
2013-07-27T11:41:49.100-07:00,0
2013-07-27T14:33:38.000-07:00,0
2013-07-27T14:33:38.100-07:00,1
2013-07-27T14:43:14.000-07:00,1
2013-07-27T14:43:14.100-07:00,0
2013-07-27T14:57:10.000-07:00,0
2013-07-27T14:57:10.100-07:00,1
2013-07-27T15:26:55.000-07:00,1
2013-07-27T15:26:55.100-07:00,0
2013-07-27T19:20:58.000-07:00,0
2013-07-27T19:20:58.100-07:00,1
2013-07-27T21:01:54.000-07:00,1
2013-07-27T21:01:54.100-07:00,0
2013-07-27T23:31:36.000-07:00,0
2013-07-27T23:31:36.100-07:00,1
2013-07-27T23:32:51.000-07:00,1
2013-07-27T23:32:51.100-07:00,0
