timestamp, value
2013-08-02T06:30:09.000-07:00,0
2013-08-02T06:30:09.100-07:00,1
2013-08-02T07:39:55.000-07:00,1
2013-08-02T07:39:55.100-07:00,0
2013-08-02T17:50:38.000-07:00,0
2013-08-02T17:50:38.100-07:00,1
2013-08-02T18:04:46.000-07:00,1
2013-08-02T18:04:46.100-07:00,0
2013-08-02T19:59:07.000-07:00,0
2013-08-02T19:59:07.100-07:00,1
2013-08-02T20:00:06.000-07:00,1
2013-08-02T20:00:06.100-07:00,0
2013-08-02T20:00:49.000-07:00,0
2013-08-02T20:00:49.100-07:00,1
2013-08-02T20:00:53.000-07:00,1
2013-08-02T20:00:53.100-07:00,0
2013-08-02T20:03:53.000-07:00,0
2013-08-02T20:03:53.100-07:00,1
2013-08-02T20:05:16.000-07:00,1
2013-08-02T20:05:16.100-07:00,0
