timestamp, value
2013-07-29T09:34:03.000-07:00,0
2013-07-29T09:34:03.100-07:00,1
2013-07-29T09:35:07.000-07:00,1
2013-07-29T09:35:07.100-07:00,0
2013-07-29T10:43:44.000-07:00,0
2013-07-29T10:43:44.100-07:00,1
2013-07-29T10:44:57.000-07:00,1
2013-07-29T10:44:57.100-07:00,0
2013-07-29T15:18:25.000-07:00,0
2013-07-29T15:18:25.100-07:00,1
2013-07-29T15:19:59.000-07:00,1
2013-07-29T15:19:59.100-07:00,0
2013-07-29T17:42:36.000-07:00,0
2013-07-29T17:42:36.100-07:00,1
2013-07-29T17:54:15.000-07:00,1
2013-07-29T17:54:15.100-07:00,0
