timestamp, value
2013-08-01T00:00:02.900-07:00,0
2013-08-01T00:00:03.000-07:00,1
2013-08-01T00:00:03.100-07:00,0
2013-08-01T00:02:02.900-07:00,0
2013-08-01T00:02:03.000-07:00,1
2013-08-01T00:02:03.100-07:00,0
2013-08-01T00:03:24.900-07:00,0
2013-08-01T00:03:25.000-07:00,1
2013-08-01T00:03:25.100-07:00,0
2013-08-01T00:31:41.900-07:00,0
2013-08-01T00:31:42.000-07:00,1
2013-08-01T00:31:42.100-07:00,0
2013-08-01T00:32:46.900-07:00,0
2013-08-01T00:32:47.000-07:00,1
2013-08-01T00:32:47.100-07:00,0
2013-08-01T00:38:16.900-07:00,0
2013-08-01T00:38:17.000-07:00,1
2013-08-01T00:38:17.100-07:00,0
2013-08-01T00:38:36.900-07:00,0
2013-08-01T00:38:37.000-07:00,1
2013-08-01T00:38:37.100-07:00,0
2013-08-01T00:42:23.900-07:00,0
2013-08-01T00:42:24.000-07:00,1
2013-08-01T00:42:24.100-07:00,0
2013-08-01T01:39:56.900-07:00,0
2013-08-01T01:39:57.000-07:00,1
2013-08-01T01:39:57.100-07:00,0
2013-08-01T01:40:36.900-07:00,0
2013-08-01T01:40:37.000-07:00,1
2013-08-01T01:40:37.100-07:00,0
2013-08-01T01:40:56.900-07:00,0
2013-08-01T01:40:57.000-07:00,1
2013-08-01T01:40:57.100-07:00,0
2013-08-01T07:58:07.900-07:00,0
2013-08-01T07:58:08.000-07:00,1
2013-08-01T07:58:08.100-07:00,0
2013-08-01T08:01:50.900-07:00,0
2013-08-01T08:01:51.000-07:00,1
2013-08-01T08:01:51.100-07:00,0
2013-08-01T08:02:18.900-07:00,0
2013-08-01T08:02:19.000-07:00,1
2013-08-01T08:02:19.100-07:00,0
2013-08-01T10:34:06.900-07:00,0
2013-08-01T10:34:07.000-07:00,1
2013-08-01T10:34:07.100-07:00,0
2013-08-01T12:06:03.900-07:00,0
2013-08-01T12:06:04.000-07:00,1
2013-08-01T12:06:04.100-07:00,0
2013-08-01T12:06:28.900-07:00,0
2013-08-01T12:06:29.000-07:00,1
2013-08-01T12:06:29.100-07:00,0
2013-08-01T12:10:19.900-07:00,0
2013-08-01T12:10:20.000-07:00,1
2013-08-01T12:10:20.100-07:00,0
2013-08-01T12:13:48.900-07:00,0
2013-08-01T12:13:49.000-07:00,1
2013-08-01T12:13:49.100-07:00,0
2013-08-01T12:16:52.900-07:00,0
2013-08-01T12:16:53.000-07:00,1
2013-08-01T12:16:53.100-07:00,0
2013-08-01T12:20:50.900-07:00,0
2013-08-01T12:20:51.000-07:00,1
2013-08-01T12:20:51.100-07:00,0
2013-08-01T12:21:17.900-07:00,0
2013-08-01T12:21:18.000-07:00,1
2013-08-01T12:21:18.100-07:00,0
2013-08-01T12:22:38.900-07:00,0
2013-08-01T12:22:39.000-07:00,1
2013-08-01T12:22:39.100-07:00,0
2013-08-01T12:23:04.900-07:00,0
2013-08-01T12:23:05.000-07:00,1
2013-08-01T12:23:05.100-07:00,0
2013-08-01T12:24:53.900-07:00,0
2013-08-01T12:24:54.000-07:00,1
2013-08-01T12:24:54.100-07:00,0
2013-08-01T12:25:09.900-07:00,0
2013-08-01T12:25:10.000-07:00,1
2013-08-01T12:25:10.100-07:00,0
2013-08-01T12:27:45.900-07:00,0
2013-08-01T12:27:46.000-07:00,1
2013-08-01T12:27:46.100-07:00,0
2013-08-01T12:28:17.900-07:00,0
2013-08-01T12:28:18.000-07:00,1
2013-08-01T12:28:18.100-07:00,0
2013-08-01T12:28:35.900-07:00,0
2013-08-01T12:28:36.000-07:00,1
2013-08-01T12:28:36.100-07:00,0
2013-08-01T12:29:18.900-07:00,0
2013-08-01T12:29:19.000-07:00,1
2013-08-01T12:29:19.100-07:00,0
2013-08-01T12:30:15.900-07:00,0
2013-08-01T12:30:16.000-07:00,1
2013-08-01T12:30:16.100-07:00,0
2013-08-01T12:30:42.900-07:00,0
2013-08-01T12:30:43.000-07:00,1
2013-08-01T12:30:43.100-07:00,0
2013-08-01T12:31:43.900-07:00,0
2013-08-01T12:31:44.000-07:00,1
2013-08-01T12:31:44.100-07:00,0
2013-08-01T12:34:06.900-07:00,0
2013-08-01T12:34:07.000-07:00,1
2013-08-01T12:34:07.100-07:00,0
2013-08-01T12:35:23.900-07:00,0
2013-08-01T12:35:24.000-07:00,1
2013-08-01T12:35:24.100-07:00,0
2013-08-01T12:35:40.900-07:00,0
2013-08-01T12:35:41.000-07:00,1
2013-08-01T12:35:41.100-07:00,0
2013-08-01T12:35:58.900-07:00,0
2013-08-01T12:35:59.000-07:00,1
2013-08-01T12:35:59.100-07:00,0
2013-08-01T12:36:28.900-07:00,0
2013-08-01T12:36:29.000-07:00,1
